sz000001,平安银行
sz000002,万  科Ａ
sz000004,国农科技
sz000005,世纪星源
sz000006,深振业Ａ
sz000007,全新好
sz000008,神州高铁
sz000009,中国宝安
sz000010,*ST美丽
sz000011,深物业A
sz000012,南  玻Ａ
sz000014,沙河股份
sz000016,深康佳Ａ
sz000017,*ST中华A
sz000019,深粮控股
sz000020,深华发Ａ
sz000021,深科技
sz000023,深天地Ａ
sz000025,特  力Ａ
sz000026,飞亚达
sz000027,深圳能源
sz000028,国药一致
sz000029,深深房Ａ
sz000030,富奥股份
sz000031,大悦城
sz000032,深桑达Ａ
sz000034,神州数码
sz000035,中国天楹
sz000036,华联控股
sz000037,深南电A
sz000038,深大通
sz000039,中集集团
sz000040,东旭蓝天
sz000042,中洲控股
sz000045,深纺织Ａ
sz000046,泛海控股
sz000048,京基智农
sz000049,德赛电池
sz000050,深天马Ａ
sz000055,方大集团
sz000056,皇庭国际
sz000058,深 赛 格
sz000059,华锦股份
sz000060,中金岭南
sz000061,农 产 品
sz000062,深圳华强
sz000063,中兴通讯
sz000065,北方国际
sz000066,中国长城
sz000068,华控赛格
sz000069,华侨城Ａ
sz000070,特发信息
sz000078,海王生物
sz000088,盐 田 港
sz000089,深圳机场
sz000090,天健集团
sz000096,广聚能源
sz000099,中信海直
sz000100,TCL科技
sz000150,宜华健康
sz000151,中成股份
sz000153,丰原药业
sz000155,川能动力
sz000156,华数传媒
sz000157,中联重科
sz000158,常山北明
sz000159,国际实业
sz000166,申万宏源
sz000301,东方盛虹
sz000333,美的集团
sz000338,潍柴动力
sz000400,许继电气
sz000401,冀东水泥
sz000402,金 融 街
sz000403,双林生物
sz000404,长虹华意
sz000407,胜利股份
sz000408,*ST藏格
sz000409,ST地矿
sz000410,*ST沈机
sz000411,英特集团
sz000413,东旭光电
sz000415,渤海租赁
sz000416,民生控股
sz000417,合肥百货
sz000419,通程控股
sz000420,吉林化纤
sz000421,南京公用
sz000422,ST宜化
sz000423,东阿阿胶
sz000425,徐工机械
sz000426,兴业矿业
sz000428,华天酒店
sz000429,粤高速Ａ
sz000430,张家界
sz000488,晨鸣纸业
sz000498,山东路桥
sz000501,鄂武商Ａ
sz000502,绿景控股
sz000503,国新健康
sz000504,ST生物
sz000505,京粮控股
sz000506,中润资源
sz000507,珠海港
sz000509,*ST华塑
sz000510,新金路
sz000513,丽珠集团
sz000514,渝 开 发
sz000516,国际医学
sz000517,荣安地产
sz000518,四环生物
sz000519,中兵红箭
sz000520,长航凤凰
sz000521,长虹美菱
sz000523,广州浪奇
sz000524,岭南控股
sz000525,红 太 阳
sz000526,紫光学大
sz000528,柳    工
sz000529,广弘控股
sz000530,冰山冷热
sz000531,穗恒运Ａ
sz000532,华金资本
sz000533,顺钠股份
sz000534,万泽股份
sz000536,*ST华映
sz000537,广宇发展
sz000538,云南白药
sz000539,粤电力Ａ
sz000540,中天金融
sz000541,佛山照明
sz000543,皖能电力
sz000544,中原环保
sz000545,金浦钛业
sz000546,金圆股份
sz000547,航天发展
sz000548,湖南投资
sz000550,江铃汽车
sz000551,创元科技
sz000552,靖远煤电
sz000553,安道麦A
sz000554,泰山石油
sz000555,神州信息
sz000557,西部创业
sz000558,莱茵体育
sz000559,万向钱潮
sz000560,我爱我家
sz000561,烽火电子
sz000563,陕国投Ａ
sz000564,供销大集
sz000565,渝三峡Ａ
sz000566,海南海药
sz000567,海德股份
sz000568,泸州老窖
sz000570,苏常柴Ａ
sz000571,*ST大洲
sz000572,ST海马
sz000573,粤宏远Ａ
sz000576,广东甘化
sz000581,威孚高科
sz000582,北部湾港
sz000584,哈工智能
sz000585,*ST东电
sz000586,汇源通信
sz000587,*ST金洲
sz000589,贵州轮胎
sz000590,启迪古汉
sz000591,太阳能
sz000592,平潭发展
sz000593,大通燃气
sz000595,*ST宝实
sz000596,古井贡酒
sz000597,东北制药
sz000598,兴蓉环境
sz000599,青岛双星
sz000600,建投能源
sz000601,韶能股份
sz000603,盛达资源
sz000605,渤海股份
sz000606,顺利办
sz000607,华媒控股
sz000608,阳光股份
sz000609,中迪投资
sz000610,西安旅游
sz000611,*ST天首
sz000612,焦作万方
sz000613,大东海A
sz000615,京汉股份
sz000616,海航投资
sz000617,中油资本
sz000619,海螺型材
sz000620,新华联
sz000622,恒立实业
sz000623,吉林敖东
sz000625,长安汽车
sz000626,远大控股
sz000627,天茂集团
sz000628,高新发展
sz000629,攀钢钒钛
sz000630,铜陵有色
sz000631,顺发恒业
sz000632,三木集团
sz000633,合金投资
sz000635,英 力 特
sz000636,风华高科
sz000637,茂化实华
sz000638,万方发展
sz000639,西王食品
sz000650,仁和药业
sz000651,格力电器
sz000652,泰达股份
sz000655,金岭矿业
sz000656,金科股份
sz000657,中钨高新
sz000659,珠海中富
sz000661,长春高新
sz000662,*ST天夏
sz000663,*ST永林
sz000665,湖北广电
sz000666,经纬纺机
sz000667,美好置业
sz000668,荣丰控股
sz000669,*ST金鸿
sz000670,*ST盈方
sz000671,阳 光 城
sz000672,上峰水泥
sz000673,*ST当代
sz000676,智度股份
sz000677,恒天海龙
sz000678,襄阳轴承
sz000679,*ST友谊
sz000680,山推股份
sz000681,视觉中国
sz000682,东方电子
sz000683,远兴能源
sz000685,中山公用
sz000686,东北证券
sz000687,*ST华讯
sz000688,国城矿业
sz000690,宝新能源
sz000691,亚太实业
sz000692,惠天热电
sz000695,滨海能源
sz000697,炼石航空
sz000698,沈阳化工
sz000700,模塑科技
sz000701,厦门信达
sz000702,正虹科技
sz000703,恒逸石化
sz000705,浙江震元
sz000707,ST双环
sz000708,中信特钢
sz000709,河钢股份
sz000710,贝瑞基因
sz000711,京蓝科技
sz000712,锦龙股份
sz000713,丰乐种业
sz000715,中兴商业
sz000716,黑芝麻
sz000717,韶钢松山
sz000718,苏宁环球
sz000719,中原传媒
sz000720,新能泰山
sz000721,西安饮食
sz000722,湖南发展
sz000723,美锦能源
sz000725,京东方Ａ
sz000726,鲁  泰Ａ
sz000727,*ST东科
sz000728,国元证券
sz000729,燕京啤酒
sz000731,四川美丰
sz000732,泰禾集团
sz000733,振华科技
sz000735,罗 牛 山
sz000736,中交地产
sz000737,ST南风
sz000738,航发控制
sz000739,普洛药业
sz000750,国海证券
sz000751,锌业股份
sz000752,*ST西发
sz000753,漳州发展
sz000755,山西路桥
sz000756,新华制药
sz000757,浩物股份
sz000758,中色股份
sz000759,中百集团
sz000760,*ST斯太
sz000761,本钢板材
sz000762,西藏矿业
sz000766,通化金马
sz000767,漳泽电力
sz000768,中航飞机
sz000776,广发证券
sz000777,中核科技
sz000778,新兴铸管
sz000779,甘咨询
sz000780,*ST平能
sz000782,美达股份
sz000783,长江证券
sz000785,居然之家
sz000786,北新建材
sz000788,北大医药
sz000789,万年青
sz000790,华神科技
sz000791,甘肃电投
sz000792,*ST盐湖
sz000793,华闻集团
sz000795,英洛华
sz000796,凯撒旅业
sz000797,中国武夷
sz000798,中水渔业
sz000799,酒鬼酒
sz000800,一汽解放
sz000801,四川九洲
sz000802,北京文化
sz000803,*ST金宇
sz000806,*ST银河
sz000807,云铝股份
sz000809,铁岭新城
sz000810,创维数字
sz000811,冰轮环境
sz000812,陕西金叶
sz000813,德展健康
sz000815,美利云
sz000816,ST慧业
sz000818,航锦科技
sz000819,岳阳兴长
sz000820,*ST节能
sz000821,京山轻机
sz000822,山东海化
sz000823,超声电子
sz000825,太钢不锈
sz000826,启迪环境
sz000828,东莞控股
sz000829,天音控股
sz000830,鲁西化工
sz000831,五矿稀土
sz000833,粤桂股份
sz000835,*ST长动
sz000836,富通鑫茂
